duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
4,0,92,2023-05-08 12:40:00.000,,,2023-05-08 12:43:21.401,2023-05-08 12:43:21.401,92,1.4166666,72.2,5.99,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-05-08 12:41:00.000,0cbfabcf-7260-4bea-a786-fcc44597bddd,
4,0,81,2023-05-07 15:32:00.000,,,2023-05-07 15:35:00.450,2023-05-07 15:35:00.450,81,0.9956667,59.74,5.66,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-05-07 15:33:00.000,8e0557bb-a386-40b1-a6ff-7701b2b270f2,
4,0,75,2023-05-07 17:25:00.000,,,2023-05-07 17:35:00.746,2023-05-07 17:35:00.746,76,1.1666666,57.95,5.3,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-05-07 17:26:00.000,e7510338-7381-41c2-954e-576abe529a1e,
4,0,31,2023-05-06 21:37:00.000,,,2023-05-06 21:39:11.758,2023-05-06 21:39:11.758,31,1.2222222,23.69,2.09,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-05-06 21:38:00.000,96298f98-3698-43b8-b271-a4ddf887bd6d,
4,0,49,2023-05-05 16:53:00.000,,,2023-05-05 16:55:01.795,2023-05-05 16:55:01.795,49,1.0555556,36.57,3.37,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-05-05 16:54:00.000,68356afe-fd13-459e-ad95-3aa8e15baff6,
4,0,38,2023-05-02 22:53:00.000,,,2023-05-02 22:53:59.601,2023-05-02 22:53:17.397,40,1.13196,30.220005,2.79,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-05-02 22:54:00.000,53adbc37-3a4e-44c0-b930-65435a8e514f,
4,0,98,2023-05-07 17:26:00.000,,,2023-05-07 17:35:00.783,2023-05-07 17:35:00.783,97,1.2398334,74.39,6.79,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-05-07 17:27:00.000,ca73a44d-047d-4750-83a6-e1ee1ca2164e,
4,0,68,2023-05-08 12:42:00.000,,,2023-05-08 12:43:21.544,2023-05-08 12:43:21.544,68,1.3333334,53.11,4.49,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-05-08 12:43:00.000,2df21195-45f6-476f-b814-c00589234bb7,
4,0,78,2023-05-07 15:33:00.000,,,2023-05-07 15:35:00.483,2023-05-07 15:35:00.483,78,0.949,56.94,5.46,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-05-07 15:34:00.000,6762c936-1e65-41ac-a6dc-e33bc13d913d,
4,0,54,2023-05-02 22:54:00.000,,,2023-05-02 22:55:02.021,2023-05-02 22:54:00.326,68,1.2314425,48.57,4.67,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-05-02 22:55:00.000,ad395f70-60fc-469d-af45-3dfd647c7607,
4,0,95,2023-05-07 17:27:00.000,,,2023-05-07 17:35:00.817,2023-05-07 17:35:00.817,95,1.2083334,72.5,6.65,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-05-07 17:28:00.000,c793ce80-dc08-451e-8c56-92aef8c3448b,
