number_of_streak,start_time,exercise_type,device_type,exercise_session_id,update_time,create_time,source_pkg_name,program_id,title,time_offset,extra_data,deviceuuid,pkg_name,controller_id,end_time,datauuid,is_visible
,1001.0,,73f82202-53ad-4db4-8dd4-f9abc03d1b37,2023-05-12 23:31:36.309,2023-03-01 03:45:29.393,,,1201,UTC-0500,2.693,+OWbbAvnWG,com.sec.android.app.shealth,sport.tracker.best.record.speed.lifetime,2023-03-01 03:45:18.270,062d453b-7d85-4ded-9aa5-ea802db67e57,0,
2023-04-14 04:00:00.000,,100003.0,,2023-04-16 04:00:02.507,2023-04-16 04:00:02.507,,,tracker_pedometer_reward_most_walking_day,UTC-0400,"{""mTarget"":-1,""mValue"":12222}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-04-14 04:00:00.000,05f7f00c-a031-41b7-8640-3ea9d2bd4f1b,1,
2022-12-24 05:00:00.000,,100003.0,,2023-01-16 23:27:07.305,2022-12-25 04:03:48.600,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":6872}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2022-12-24 05:00:00.000,c0d14653-0cea-40c5-8e33-b3c593350007,1,
2023-04-09 04:00:00.000,,10009.0,,2023-04-15 04:00:03.634,2023-04-10 04:00:03.316,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6500,""mValue"":11369}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-04-09 04:00:00.000,97119d5f-9f53-4aca-a0d4-e42fa5f6794b,1,
2023-03-11 05:00:00.000,,100003.0,,2023-03-13 04:00:02.795,2023-03-12 05:00:03.964,,,tracker_pedometer_reward_most_walking_day,UTC-0500,"{""mTarget"":-1,""mValue"":10914}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-03-11 05:00:00.000,12c132e8-ea06-4c04-9d50-c01cc56c2441,1,
2023-04-28 04:00:00.000,,10009.0,,2023-05-04 04:00:02.431,2023-04-29 04:00:03.164,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6500,""mValue"":11101}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-04-28 04:00:00.000,906f7ca1-1be3-4b00-b886-562f8da6a9d1,1,
,1001.0,,c2281b4d-7081-4d92-bd0c-959415439400,2023-04-09 19:23:21.128,2023-02-20 22:27:03.616,,,1205,UTC-0500,571.201,+OWbbAvnWG,com.sec.android.app.shealth,sport.tracker.best.record.calories.lifetime,2023-02-20 21:59:49.141,e4f72d18-fdc0-401c-92e5-0694b56dbd36,0,
2023-01-09 05:00:00.000,,100003.0,,2023-02-02 23:42:34.491,2023-01-09 20:07:49.816,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":7376}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-01-09 05:00:00.000,6f6bd7a9-9209-4a07-b1b6-e0da3a57a1f7,1,
2023-05-07 04:00:00.000,,10009.0,,2023-05-13 04:00:04.306,2023-05-08 04:12:49.555,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6500,""mValue"":9055}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-05-07 04:00:00.000,5ae54e5e-e813-49ad-80da-d3451e2ba561,1,
,15002.0,,cd4dea51-5a16-4931-be1a-23359a63e32b,2023-05-15 20:41:38.742,2023-03-18 19:48:54.858,,,1203,UTC-0400,1962151,+OWbbAvnWG,com.sec.android.app.shealth,sport.tracker.best.record.duration.lifetime,2023-03-18 19:48:45.481,583942bc-7a2e-4e1e-a0cd-5555ac7f6fc0,0,
2023-04-06 04:00:00.000,,100003.0,,2023-04-11 04:00:07.235,2023-04-11 04:00:07.235,,,tracker_pedometer_reward_most_walking_day,UTC-0400,"{""mTarget"":-1,""mValue"":11243}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-04-06 04:00:00.000,ef56c9d2-766e-4771-8986-a0e31c67767d,1,
,15005.0,,b44327e3-72b8-492e-830c-1903dbac5dc8,2023-05-09 12:50:44.397,2023-05-09 12:50:44.397,,,1205,UTC-0400,260.2,+OWbbAvnWG,com.sec.android.app.shealth,sport.tracker.best.record.calories.lifetime,2023-05-09 12:50:36.519,080ea57a-30a9-4850-8c02-b3d222a51c9a,1,
2023-01-21 05:00:00.000,,100003.0,,2023-02-15 20:18:27.097,2023-01-21 21:01:41.527,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":15487}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-01-21 05:00:00.000,9ab0f7c5-8886-443f-b381-0308f8e16cb7,1,
,1001.0,,ff34b9fa-3a7e-454b-8995-919d4bfaf420,2023-05-12 23:31:36.454,2023-05-12 23:31:36.454,,,1201,UTC-0400,2.829,+OWbbAvnWG,com.sec.android.app.shealth,sport.tracker.best.record.speed.lifetime,2023-05-12 23:31:25.840,6ad167e5-ea5f-49e2-88ac-dd842ce699ea,1,
2023-03-19 04:00:00.000,,100003.0,,2023-04-03 16:34:25.708,2023-03-19 22:36:39.658,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6500,""mValue"":10952}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-03-19 04:00:00.000,49f29448-ba5d-45d4-910f-70f4b3844563,1,
2023-05-14 04:00:00.000,,10009.0,,2023-05-20 04:00:06.246,2023-05-15 04:28:03.194,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6500,""mValue"":7900}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-05-14 04:00:00.000,e352c0cc-58fd-4491-81e9-b815c23217e6,1,
